epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1318.35,1.08505,0.74238,1.10754,0.89299,0.97202,0.995,0.67319,1.15518,0.82639,1.20194,0.000505,0.000505,0.000505
77,1334.82,1.04978,0.70024,1.09241,0.86957,0.9734,0.995,0.67384,1.16605,0.8653,1.19942,0.0004984,0.0004984,0.0004984
78,1351.6,1.05675,0.71967,1.09415,0.88399,0.97372,0.9895,0.67228,1.17424,0.88459,1.19114,0.0004918,0.0004918,0.0004918
79,1369.75,1.08862,0.75441,1.10137,0.93438,0.95477,0.9895,0.67233,1.18468,0.89395,1.18896,0.0004852,0.0004852,0.0004852
80,1389.6,1.02899,0.73374,1.05256,0.94679,0.95232,0.99133,0.67045,1.19455,0.88278,1.20014,0.0004786,0.0004786,0.0004786
81,1406.47,0.99538,0.68199,1.05995,0.93501,0.9533,0.984,0.6806,1.18054,0.87546,1.1969,0.000472,0.000472,0.000472
82,1423.02,1.07519,0.76462,1.13581,0.94404,0.95327,0.98217,0.68129,1.16808,0.86567,1.18638,0.0004654,0.0004654,0.0004654
83,1439.49,1.06863,0.77503,1.08994,0.94196,0.96552,0.984,0.6817,1.15558,0.85362,1.1717,0.0004588,0.0004588,0.0004588
84,1455.92,1.05696,0.73235,1.07522,0.94747,0.97648,0.984,0.67901,1.15752,0.82123,1.16674,0.0004522,0.0004522,0.0004522
85,1472.63,1.02981,0.72997,1.09345,0.97577,0.98226,0.98767,0.68311,1.17496,0.79354,1.17302,0.0004456,0.0004456,0.0004456
86,1489.52,1.06243,0.69281,1.10719,0.97456,0.98407,0.98033,0.67811,1.18158,0.78938,1.17427,0.000439,0.000439,0.000439
